date,value
2024-03-12,894.73
2024-03-13,888.55
2024-03-14,889.1
2024-03-15,888.12
2024-03-18,891.51
2024-03-19,894.24
2024-03-20,886.81
2024-03-21,887.17
2024-03-22,874.49
2024-03-25,883.87
2024-03-26,885.56
2024-03-27,883.24
2024-03-28,889.17
2024-03-29,889.48
2024-04-01,890.11
2024-04-02,888.32
2024-04-03,892.69
2024-04-04,889.88
2024-04-05,890.53
2024-04-08,891.37
2024-04-09,891.49
2024-04-11,885.55
2024-04-12,890.06
2024-04-15,894.8
2024-04-16,897.43
2024-04-17,901.91
2024-04-18,898.36
2024-04-19,889.77
2024-04-22,895.89
2024-04-23,891.89
2024-04-24,890.26
2024-04-25,882.48
2024-04-26,884.79
2024-04-29,869.12
2024-04-30,882.68
2024-05-02,886.17
2024-05-03,899.92
2024-05-07,885.83
2024-05-08,877.44
2024-05-09,877.12
2024-05-10,880.53
2024-05-13,878.01
2024-05-14,876.95
2024-05-16,885.37
2024-05-17,868.37
2024-05-20,870.25
2024-05-21,867.83
2024-05-22,873.24
2024-05-23,869.63
2024-05-24,869.14
2024-05-27,873.42
2024-05-28,870.1
2024-05-29,864.71
2024-05-30,865.63
2024-05-31,877.84
2024-06-03,878.41
2024-06-04,882.03
2024-06-05,886.76
2024-06-07,881.54
2024-06-10,871.55
2024-06-11,877.39
2024-06-12,876.4
2024-06-13,878.56
2024-06-14,872.58
2024-06-17,874.56
2024-06-18,875.22
2024-06-19,874.62
2024-06-20,874.01
2024-06-21,870.89
2024-06-24,869.63
2024-06-25,870.38
2024-06-26,868.26
2024-06-27,865.0
2024-06-28,864.31
2024-07-01,859.57
2024-07-02,855.38
2024-07-03,859.42
2024-07-04,859.59
2024-07-05,856.86
2024-07-08,858.07
2024-07-09,858.13
2024-07-10,857.36
2024-07-11,857.53
2024-07-12,865.95
2024-07-15,869.34
2024-07-16,874.09
2024-07-17,875.47
2024-07-18,886.17
2024-07-19,877.44
2024-07-22,881.81
2024-07-23,884.09
2024-07-24,889.45
2024-07-25,901.32
2024-07-26,901.92
2024-07-29,899.11
2024-07-30,898.45
2024-07-31,905.44
2024-08-01,918.66
2024-08-02,915.7
2024-08-05,938.67
2024-08-06,937.18
2024-08-07,949.49
2024-08-08,940.13
2024-08-09,934.32
2024-08-12,931.09
2024-08-13,929.08
2024-08-14,933.38
2024-08-16,912.44
2024-08-19,919.89
2024-08-20,911.84
2024-08-21,917.07
2024-08-22,919.63
2024-08-23,914.34
2024-08-26,933.05
2024-08-27,917.75
2024-08-28,925.21
2024-08-29,925.17
2024-08-30,921.75
2024-09-02,910.69
2024-09-03,911.12
2024-09-04,923.43
2024-09-05,934.22
2024-09-06,931.81
2024-09-09,935.29
2024-09-10,935.83
2024-09-11,943.87
2024-09-12,940.59
2024-09-13,945.74
2024-09-19,934.46
2024-09-20,932.93
2024-09-23,923.93
2024-09-24,930.24
2024-09-25,932.52
2024-09-26,918.01
2024-09-27,917.29
2024-09-30,924.51
2024-10-02,910.26
2024-10-04,899.47
2024-10-07,894.65
2024-10-08,910.26
2024-10-10,903.08
2024-10-11,907.74
2024-10-14,903.31
2024-10-15,904.62
2024-10-16,911.22
2024-10-17,911.29
2024-10-18,909.64
2024-10-21,916.91
2024-10-22,909.08
2024-10-23,913.55
2024-10-24,904.86
2024-10-25,910.26
2024-10-28,905.75
2024-10-29,904.67
2024-10-30,902.6
2024-10-31,902.2
2024-11-01,908.24
2024-11-04,904.19
2024-11-05,901.31
2024-11-06,907.76
2024-11-07,901.29
2024-11-08,914.21
2024-11-11,906.17
2024-11-12,907.6
2024-11-13,906.6
2024-11-14,905.6
2024-11-15,899.61
2024-11-18,906.93
2024-11-19,901.39
2024-11-20,900.56
2024-11-21,895.87
2024-11-22,906.0
2024-11-25,907.62
2024-11-26,908.13
2024-11-27,915.01
2024-11-28,925.31
2024-11-29,920.87
2024-12-02,931.46
2024-12-03,937.51
2024-12-04,937.69
2024-12-05,938.15
2024-12-06,942.48
2024-12-09,947.06
2024-12-10,947.35
2024-12-11,940.07
2024-12-12,939.12
2024-12-13,938.04
2024-12-16,933.2
2024-12-17,930.51
2024-12-18,935.74
2024-12-19,928.92
2024-12-20,920.21
2024-12-23,926.86
2024-12-24,922.45
2024-12-26,924.56
2024-12-27,927.0
2024-12-30,934.31
2024-12-31,936.48
2025-01-02,934.67
2025-01-03,932.19
2025-01-06,931.6
2025-01-07,932.48
2025-01-08,920.0
2025-01-09,917.51
2025-01-10,922.42
2025-01-13,925.69
2025-01-14,934.81
2025-01-15,926.43
2025-01-16,933.69
2025-01-17,937.25
2025-01-20,931.26
2025-01-21,934.59
2025-01-22,923.18
2025-01-23,916.84
2025-01-24,921.01
2025-01-31,927.88
2025-02-03,935.91
2025-02-04,947.96
2025-02-05,946.08
2025-02-06,950.48
2025-02-07,956.48
2025-02-10,954.4
2025-02-11,956.47
2025-02-12,952.8
2025-02-13,941.44
2025-02-14,948.47
2025-02-17,947.79
